name,value,year,lastValue,rank
Wassington   ,248981,12,419631,31
Bibi,171036,12,338381,32
Cuerart                  ,175747,12,316757,33
Spiderman,146374,12,208260,34
Reef,105774,12,197583,35
Varios_Saldos,99087,12,192939,36
Tiernitas,99800,12,152926,37
Vanzetti,73999,12,144526,38
Falatino,59338,12,121880,39
Mc Jason,64605,12,118138,40
Crocs,58044,12,92825,41
Ginga,66080,12,89013,42
Blanditos,28300,12,70000,43
ZAXY,18480,12,60320,44
Bottero,11699,12,37950,45
Legitimo,9940,12,36170,46
FF,29900,12,35880,47
SANJERIY,4395,12,35649,48
Hot Wheels,26600,12,26660,49
Disponible,10000,12,20350,50
Euro Teens,1301,12,18300,51
Via Uno,3079,12,11230,52
Grendene,4890,12,10700,53
Bioconfort,699,12,7988,54
Natalia K,3000,12,5400,55
MINI Miss Carol,1000,12,2950,56
Aquarella,796,12,2289,57
Cartago,2150,12,2180,58
Annisa Group.,598,12,1794,59
Asics,997,12,1495,60
Indian Red,1100,12,1450,61
Luocheng,200,12,1400,62
Kadú,1550,12,1000,63
FILA,650,12,650,64
Sonho De Crianca,700,12,400,65
Barbie,200,12,200,66
G&F,200,12,200,67
Miss Carol,2261553,13,2973016,1
Havaianas,1071099,13,2645675,2
Topper,4284761,13,2436369,3
Reebok,2618297,13,2306701,4
Puma,2279509,13,2066714,5
PUSH,3302319,13,1896411,6
Rider,677379,13,1876281,7
Lombardino,2133425,13,1735977,8
Freeway ,1202370,13,1719538,9
A.Giannini,1416790,13,1646384,10
Camarao,1791514,13,1507191,11
Converse,1682008,13,1442320,12
Azaleia,595576,13,1281167,13
New Balance,945418,13,879649,14
Adidas,814929,13,864710,15
Euro Jack,335114,13,684887,16
Lady Confort,669151,13,638235,17
Branch,472199,13,619597,18
Sumilon,539745,13,586398,19
Croco Kids,355899,13,526128,20
Mormaii,243059,13,506876,21
Pigalle ,397162,13,442357,22
Olympikus                 ,536741,13,425823,23
Gallarate,295370,13,344540,24
North Sails N+,498096,13,291532,25
Umbro,438382,13,266266,26
Hello Kitty,57724,13,253336,27
Wassington   ,341273,13,248981,28
Goshik,785858,13,184500,29
Cuerart                  ,207732,13,175747,30
Bibi,321310,13,171036,31
Mistral,141290,13,153230,32
Spiderman,40458,13,146374,33
Reef,104285,13,105774,34
Tiernitas,63989,13,99800,35
Varios_Saldos,54632,13,99087,36
Vanzetti,318844,13,73999,37
Grendha,27073,13,70212,38
Ginga,45051,13,66080,39
Mc Jason,80581,13,64605,40
Falatino,70667,13,59338,41
Crocs,33748,13,58044,42
FF,11960,13,29900,43
Blanditos,31800,13,28300,44
Hot Wheels,6820,13,26600,45
ZAXY,31210,13,18480,46
Bottero,23039,13,11699,47
Disponible,11500,13,10000,48
Legitimo,13900,13,9940,49
Grendene,5890,13,4890,50
SANJERIY,1398,13,4395,51
Via Uno,5150,13,3079,52
Natalia K,2250,13,3000,53
Cartago,1650,13,2150,54
Kadú,1200,13,1550,55
Euro Teens,300,13,1301,56
Indian Red,200,13,1100,57
MINI Miss Carol,800,13,1000,58
Aquarella,1693,13,796,59
Sonho De Crianca,200,13,700,60
Bioconfort,5892,13,699,61
Annisa Group.,897,13,598,62
Barbie,200,13,200,63
G&F,200,13,200,64
Luocheng,100,13,200,65
Topper,6061840,14,4284761,1
PUSH,4729127,14,3302319,2
Reebok,3859538,14,2618297,3
Puma,2920372,14,2279509,4
Miss Carol,2971256,14,2261553,5
Lombardino,2508821,14,2133425,6
Camarao,2398348,14,1791514,7
Converse,2330998,14,1682008,8
A.Giannini,1715792,14,1416790,9
Freeway ,1247346,14,1202370,10
Havaianas,302311,14,1071099,11
New Balance,1601782,14,945418,12
Adidas,1399127,14,814929,13
Goshik,672425,14,785858,14
Rider,165039,14,677379,15
Lady Confort,1150210,14,669151,16
